scenario_id,crashed,min_distance,fitness,total_evaluations,total_time_seconds,iterations,lanes_count,vehicles_count,initial_spacing,ego_spacing,initial_lane_id,duration,simulation_frequency,policy_frequency
0,True,0.0,-1.0,15,17.15962290763855,1,9,40,1.7140402119374163,1.1229205718085842,0,30,25,5
1,True,0.0,-1.0,15,19.549296140670776,1,6,33,4.777086633466709,1.432478838158901,4,30,25,5
2,True,0.0,-1.0,6,11.096967935562134,0,9,19,1.843210145363555,3.4426772217828407,4,30,25,5
3,True,0.0,-1.0,2,210.78869676589966,0,9,9,1.5656472796824485,3.403823395619191,7,30,25,5
4,True,0.0,-1.0,4,15.963672161102295,0,8,57,2.8009739876646274,3.9287311171231125,7,30,25,5
5,True,0.0,-1.0,28,30.41670799255371,2,8,50,4.135733553814222,2.545976683126426,5,30,25,5
6,False,4.000117241095423,4.000117241095423,101,53.61821889877319,10,6,35,2.044718914160023,2.1072017193861345,3,30,25,5
7,True,0.0,-1.0,3,16.7762348651886,0,10,40,4.537462104363089,3.3270570707355804,8,30,25,5
8,True,0.0,-1.0,40,15.177563905715942,3,8,23,4.942745795020665,1.95613251545655,5,30,25,5
9,True,0.0,-1.0,69,57.19391393661499,6,6,53,1.7906774408939992,2.8094444501546856,4,30,25,5
10,True,0.0,-1.0,10,17.312242031097412,0,9,58,1.434568145356161,3.4853346558235923,4,30,25,5
11,False,3.999987224685641,3.999987224685641,101,23.247147798538208,10,4,12,2.7467503809805174,2.8044950728700724,2,30,25,5
12,True,0.0,-1.0,15,13.857068061828613,1,7,19,4.7603882428674105,1.567961153619284,1,30,25,5
13,True,0.0,-1.0,13,26.83482599258423,1,10,53,4.348861317194266,3.4330701963530266,9,30,25,5
14,True,0.0,-1.0,9,17.185180187225342,0,4,51,2.1242600007541546,3.1082179167461645,1,30,25,5
15,True,0.0,-1.0,5,18.36972188949585,0,10,43,4.171177001012259,2.03322027337857,2,30,25,5
16,True,0.0,-1.0,11,15.804012060165405,0,7,36,2.4383486547058353,1.2822214763845736,3,30,25,5
17,True,0.0,-1.0,3,20.046619176864624,0,8,52,1.2243789102609814,2.6732336420970766,6,30,25,5
18,True,0.0,-1.0,11,13.099091053009033,0,10,27,3.7283660567969727,1.84246998410801,3,30,25,5
19,False,4.000663760880235,4.000663760880235,101,38.452022075653076,10,7,28,4.666412051675167,1.8216099636948462,6,30,25,5
20,True,0.0,-1.0,25,14.098520040512085,2,10,20,2.5751601941132396,1.3651590777293257,2,30,25,5
21,False,4.000452038966591,4.000452038966591,101,67.50516605377197,10,5,48,3.226311633069356,3.1294035712252755,1,30,25,5
22,True,0.0,-1.0,29,16.867793083190918,2,9,25,1.396829207187873,1.2656751197838367,2,30,25,5
23,True,0.0,-1.0,27,28.492252826690674,2,3,43,3.3865619939520375,1.3859326729529087,1,30,25,5
24,True,0.0,-1.0,66,26.967667818069458,6,6,23,2.323297920376147,2.724213457981576,0,30,25,5
25,True,0.0,-1.0,26,13.901428937911987,2,7,14,0.5014041582695163,1.6497953933884508,3,30,25,5
