scenario_id,crashed,min_distance,fitness,total_evaluations,total_time_seconds,crashes_found_count,lanes_count,vehicles_count,initial_spacing,ego_spacing,initial_lane_id,duration,simulation_frequency,policy_frequency
0,True,0.0,-1.0,15,10.644666194915771,1,9,40,1.7140402119374163,1.1229205718085842,0,30,25,5
1,False,4.000560974364367,4.000560974364367,15,9.918673992156982,0,3,21,2.5407405026629317,1.4021250917414942,1,30,25,5
2,False,4.025366803928533,4.025366803928533,3,3.7434370517730713,0,3,23,3.778522370653076,1.5637032200998102,1,30,25,5
3,False,11.924143653009718,11.924143653009718,2,2.7106337547302246,0,7,7,2.4490712310641323,2.437153894422502,0,30,25,5
4,True,0.0,-1.0,11,9.850780248641968,2,10,8,2.4372332497823592,3.3668401526329883,4,30,25,5
5,False,4.00000343134401,4.00000343134401,28,16.445616245269775,0,3,7,2.4650017347904374,1.6097585083436945,1,30,25,5
6,True,0.0,-1.0,101,41.65373492240906,9,7,51,4.033449316968671,1.1442504610076396,1,30,25,5
7,False,3.999992673857546,3.999992673857546,3,6.816583871841431,0,4,8,4.430990504283178,1.0157959136967243,1,30,25,5
8,False,3.9899043192677737,3.9899043192677737,40,17.385667085647583,0,3,29,2.276008615843713,2.1799321302589725,0,30,25,5
9,True,0.0,-1.0,84,36.53020191192627,6,10,53,3.686931113464276,2.663490631790526,9,30,25,5
10,True,0.0,-1.0,48,22.403578758239746,1,9,9,3.090922465750311,3.259905594125431,3,30,25,5
11,True,0.0,-1.0,101,38.19468092918396,1,5,40,4.558098470424746,3.2665702100111673,0,30,25,5
12,True,0.0,-1.0,29,14.898197889328003,2,10,17,1.3455059485304206,3.0115314221635003,2,30,25,5
13,True,0.0,-1.0,13,9.762845993041992,2,10,53,4.348861317194266,3.4330701963530266,9,30,25,5
14,True,0.0,-1.0,101,46.161388874053955,3,9,10,3.011041318160624,2.7048435836819165,5,30,25,5
15,False,4.000305243266755,4.000305243266755,5,6.3264429569244385,0,3,29,1.1581044202561888,3.1563141306264137,1,30,25,5
16,False,4.005277244181384,4.005277244181384,11,9.950064182281494,0,4,50,1.1975011468955001,3.0748592679497997,2,30,25,5
17,True,0.0,-1.0,12,8.539389848709106,1,10,17,2.305247245249737,1.6094846693854923,8,30,25,5
18,False,4.104425528630106,4.104425528630106,11,9.499849796295166,0,3,58,3.037670354155784,2.9329628864537396,2,30,25,5
19,True,0.0,-1.0,101,44.249788999557495,9,5,35,1.9024943802071923,3.749049188167449,0,30,25,5
20,False,4.000175747809825,4.000175747809825,25,12.970612049102783,0,5,39,2.9797162832874,1.402185617434717,2,30,25,5
21,True,0.0,-1.0,77,26.272396087646484,5,6,26,1.413459350759347,1.5092566903637845,2,30,25,5
22,True,0.0,-1.0,34,17.558676958084106,2,8,56,4.317437317207959,2.5734671894403505,3,30,25,5
23,True,0.0,-1.0,101,43.15975880622864,3,10,20,4.021298450667419,1.4990839041153277,3,30,25,5
24,False,4.000038171726522,4.000038171726522,60,29.826831102371216,0,6,11,0.6414948525194635,1.5369490881901122,4,30,25,5
25,False,4.000097530134803,4.000097530134803,13,8.596621990203857,0,4,21,2.31502138687562,1.5649605585676092,1,30,25,5
26,True,0.0,-1.0,40,19.82790231704712,2,7,54,3.7084867873581073,1.5735018013307682,5,30,25,5
